class,r,g,b
_background_,0,0,0
MyOrchards,128,128,0
Path,255,70,240
Weed,192,192,0
SkySphere,70,130,180
Obstacles,200,255,255
people,230,230,0
Rabbit,64,128,64
Unknown,70,70,70
SM_Leaf,90,255,90
default,100,10,10
Rbarn,128,0,0
LawnMower,64,0,128
dirt,128,64,0
Pole,192,192,128
Wall,64,192,0
Fence,180,165,180
ObjectClass,230,0,128
puddle,0,160,160
Acacia,128,128,0
beech,128,128,0
Birch,128,128,0
elm,128,128,0
fir,128,128,0
maple,128,128,0
oak,128,128,0
spruce,128,128,0
sycamore,128,128,0
Floor,128,64,0
Plane,128,64,0
dirtPlane,128,64,0
